DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH
1.00,0.00,0.00,69901.00,0.00,3S,AeroLogic GmbH,YYZ,JFK,6,683,2024,1
1.00,0.00,0.00,69919.00,0.00,5X,United Parcel Service,SDF,YYC,6,691,2024,1
1.00,0.00,0.00,70866.00,0.00,QT,Transportes Aereos Mercantiles Panamericanos S.A,MIA,SAP,6,696,2024,1
1.00,0.00,0.00,71120.00,0.00,KD,Western Global,OKO,NTD,8,820,2024,1
1.00,0.00,0.00,71168.00,0.00,M3,ABSA-Aerolinhas Brasileiras,MIA,CNF,6,626,2024,1
1.00,0.00,0.00,72521.00,0.00,LA,Lan-Chile Airlines,MIA,CFB,6,626,2024,1
1.00,0.00,0.00,73425.00,0.00,5X,United Parcel Service,PHL,SNN,8,821,2024,1
1.00,0.00,0.00,74567.00,0.00,3S,AeroLogic GmbH,YYZ,ORD,6,683,2024,1
1.00,0.00,0.00,75291.00,0.00,QT,Transportes Aereos Mercantiles Panamericanos S.A,GYE,MIA,6,696,2024,1
1.00,0.00,0.00,77361.00,0.00,KE,Korean Air Lines Co. Ltd.,YHZ,ANC,6,683,2024,1
1.00,0.00,0.00,77413.00,0.00,ABX,ABX Air Inc,CVG,EMA,6,626,2024,1
1.00,0.00,0.00,78760.00,0.00,CT,Air Atlanta Europe Limited,LGG,ORD,8,820,2024,1
1.00,0.00,0.00,79479.00,0.00,FX,Federal Express Corporation,IAD,YYZ,7,740,2024,1
1.00,0.00,0.00,79958.00,0.00,5X,United Parcel Service,CDG,PHL,6,626,2024,1
1.00,0.00,0.00,81484.00,0.00,MU,China Eastern Airlines,HRB,LAX,6,637,2024,1
1.00,0.00,0.00,82676.00,0.00,KE,Korean Air Lines Co. Ltd.,YYZ,ANC,8,821,2024,1
1.00,0.00,0.00,83115.00,0.00,N8,National Air Cargo Group Inc d/ba National Airlines,ATL,VCP,8,819,2024,1
1.00,0.00,0.00,83923.00,0.00,LA,Lan-Chile Airlines,MIA,CNF,6,626,2024,1
1.00,0.00,0.00,84154.00,0.00,KAQ,Kalitta Air LLC,ANC,HKG,8,819,2024,1
1.00,0.00,0.00,84628.00,0.00,KD,Western Global,OSN,EDF,8,820,2024,1
1.00,0.00,0.00,84896.00,0.00,M3,ABSA-Aerolinhas Brasileiras,MIA,GIG,6,626,2024,1
1.00,0.00,0.00,85019.00,0.00,L7,Lan Colombia,MIA,MVD,6,626,2024,1
