DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,MAIL,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,SEATS_PER_FLIGHT,AV_PASSENGERS_PER_FLIGHT
17.0,2431.0,1711.0,0.0,0.0,WN,Southwest Airlines Co.,PVR,SNA,6,612,2024,1,143.0,100.65
17.0,2431.0,1758.0,0.0,0.0,WN,Southwest Airlines Co.,SNA,PVR,6,612,2024,1,143.0,103.41
17.0,2431.0,2048.0,0.0,0.0,WN,Southwest Airlines Co.,PVR,PHX,6,612,2024,1,143.0,120.47
17.0,2975.0,2238.0,3338.0,0.0,WN,Southwest Airlines Co.,LIR,HOU,6,838,2024,1,175.0,131.65
17.0,2975.0,2669.0,3870.0,0.0,WN,Southwest Airlines Co.,BWI,PUJ,6,614,2024,1,175.0,157.0
18.0,2574.0,2282.0,355.0,0.0,WN,Southwest Airlines Co.,HOU,BZE,6,612,2024,1,143.0,126.78
18.0,2574.0,2330.0,0.0,0.0,WN,Southwest Airlines Co.,BZE,HOU,6,612,2024,1,143.0,129.44
18.0,3150.0,2760.0,3976.0,0.0,WN,Southwest Airlines Co.,HOU,SJO,6,838,2024,1,175.0,153.33
19.0,3325.0,2904.0,5409.0,0.0,WN,Southwest Airlines Co.,BWI,PUJ,6,838,2024,1,175.0,152.84
19.0,3325.0,3017.0,5537.0,0.0,WN,Southwest Airlines Co.,SJO,HOU,6,838,2024,1,175.0,158.79
19.0,3325.0,3077.0,340.0,0.0,WN,Southwest Airlines Co.,FLL,MBJ,6,614,2024,1,175.0,161.95
19.0,3325.0,3120.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,STL,6,838,2024,1,175.0,164.21
19.0,3325.0,3150.0,0.0,0.0,WN,Southwest Airlines Co.,PUJ,BWI,6,614,2024,1,175.0,165.79
20.0,2860.0,2467.0,341.0,0.0,WN,Southwest Airlines Co.,HOU,PVR,6,612,2024,1,143.0,123.35
20.0,2860.0,2588.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,PVR,6,612,2024,1,143.0,129.4
20.0,2860.0,2656.0,0.0,0.0,WN,Southwest Airlines Co.,MDW,CUN,6,612,2024,1,143.0,132.8
20.0,2860.0,2660.0,0.0,0.0,WN,Southwest Airlines Co.,PVR,DEN,6,612,2024,1,143.0,133.0
20.0,3500.0,3002.0,275.0,0.0,WN,Southwest Airlines Co.,MCO,MBJ,6,614,2024,1,175.0,150.1
22.0,3146.0,2458.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,GCM,6,612,2024,1,143.0,111.73
22.0,3146.0,2603.0,0.0,0.0,WN,Southwest Airlines Co.,CZM,HOU,6,612,2024,1,143.0,118.32
22.0,3146.0,2612.0,0.0,0.0,WN,Southwest Airlines Co.,GCM,FLL,6,612,2024,1,143.0,118.73
22.0,3146.0,2677.0,4160.0,0.0,WN,Southwest Airlines Co.,CUN,FLL,6,612,2024,1,143.0,121.68
22.0,3146.0,2837.0,0.0,0.0,WN,Southwest Airlines Co.,AUA,MCO,6,612,2024,1,143.0,128.95
22.0,3146.0,2924.0,429.0,0.0,WN,Southwest Airlines Co.,MCO,AUA,6,612,2024,1,143.0,132.91
22.0,3146.0,2978.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,ORD,6,612,2024,1,143.0,135.36
23.0,3289.0,2447.0,0.0,0.0,WN,Southwest Airlines Co.,HOU,CZM,6,612,2024,1,143.0,106.39
23.0,3289.0,2724.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,CUN,6,612,2024,1,143.0,118.43
23.0,3289.0,2909.0,0.0,0.0,WN,Southwest Airlines Co.,ORD,CUN,6,612,2024,1,143.0,126.48
25.0,4375.0,3890.0,1280.0,0.0,WN,Southwest Airlines Co.,BWI,MBJ,6,838,2024,1,175.0,155.6
25.0,4375.0,4018.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,BWI,6,838,2024,1,175.0,160.72
26.0,4550.0,4382.0,0.0,0.0,WN,Southwest Airlines Co.,MBJ,MCO,6,614,2024,1,175.0,168.54
27.0,3861.0,3367.0,0.0,0.0,WN,Southwest Airlines Co.,DEN,SJD,6,612,2024,1,143.0,124.7
27.0,3861.0,3598.0,0.0,0.0,WN,Southwest Airlines Co.,SJD,DEN,6,612,2024,1,143.0,133.26
28.0,4004.0,3496.0,0.0,0.0,WN,Southwest Airlines Co.,CUN,AUS,6,612,2024,1,143.0,124.86
28.0,4004.0,3573.0,0.0,0.0,WN,Southwest Airlines Co.,PHX,PVR,6,612,2024,1,143.0,127.61
30.0,4290.0,3710.0,0.0,0.0,WN,Southwest Airlines Co.,NAS,FLL,6,612,2024,1,143.0,123.67
30.0,4290.0,3729.0,0.0,0.0,WN,Southwest Airlines Co.,FLL,NAS,6,612,2024,1,143.0,124.3
30.0,4290.0,3894.0,0.0,0.0,WN,Southwest Airlines Co.,PVR,HOU,6,612,2024,1,143.0,129.8
